"フィーチャID","形状(WKT)","行政区域コード （P29_001）","学校コード （P29_002）","学校分類 （P29_003）","名称 （P29_004）","所在地 （P29_005）","管理者コード （P29_006）","休校区分 （P29_007）","期間開始日時","期間終了日時","作成者","作成日時","更新者","更新日時"
"1","POINT(136.951288 35.163357)","23100","A123310000003","16011","椙山女学園大学附属幼稚園","名古屋市千種区山添町2-2","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"2","POINT(136.937482 35.166541)","23100","A123310000012","16011","愛英幼稚園","名古屋市千種区今池5-24-7","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"3","POINT(136.971498 35.16905)","23100","A123310000021","16011","わかば幼稚園","名古屋市千種区猫洞通2-13","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"4","POINT(136.969145 35.159614)","23100","A123310000030","16011","青葉幼稚園","名古屋市千種区唐山町1-61","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"5","POINT(136.979203 35.18519)","23100","A123310000049","16011","第二自由ケ丘幼稚園","名古屋市千種区宮根台2-4-30","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"6","POINT(136.935813 35.166433)","23100","A123310000058","16011","名古屋ルーテル幼稚園","名古屋市千種区今池3-5-19","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"7","POINT(136.955641 35.180792)","23100","A123310000067","16011","天満幼稚園","名古屋市千種区天満通1-46","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"8","POINT(136.940848 35.170838)","23100","A123310000076","16011","若竹幼稚園","名古屋市千種区内山2-18-12","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"9","POINT(136.970998 35.182684)","23100","A123310000085","16011","自由ケ丘幼稚園","名古屋市千種区富士見台3-9-2","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"10","POINT(136.966318 35.158823)","23100","A123310000094","16011","聖マリア幼稚園","名古屋市千種区園山町1-59","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"11","POINT(136.96033 35.171777)","23100","A123310000101","16011","城山幼稚園","名古屋市千種区城山新町2-71","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"12","POINT(136.950552 35.178923)","23100","A123310000110","16011","上野幼稚園","名古屋市千種区上野3-2-20","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"13","POINT(136.960196 35.171308)","23100","A123310000129","16011","城山学院幼稚園","名古屋市千種区城山新町2-71","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"14","POINT(136.982294 35.182018)","23100","A123310000138","16011","第三自由ケ丘幼稚園","名古屋市千種区千代が丘1-24","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"15","POINT(136.912761 35.182551)","23100","A123310000147","16011","名古屋柳城短期大学附属柳城幼稚園","名古屋市東区白壁1-31","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"16","POINT(136.915964 35.172811)","23100","A123310000156","16011","東桜幼稚園","名古屋市東区東桜2-8-26","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"17","POINT(136.911619 35.181501)","23100","A123310000165","16011","名古屋文化幼稚園","名古屋市東区白壁1-54","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"18","POINT(136.930151 35.176929)","23100","A123310000174","16011","筒井幼稚園","名古屋市東区筒井町4-13","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"19","POINT(136.923174 35.177166)","23100","A123310000183","16011","明星幼稚園","名古屋市東区代官町22-17","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"20","POINT(136.927654 35.178641)","23100","A123310000192","16011","建中寺幼稚園","名古屋市東区筒井1-7-52","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"21","POINT(136.938852 35.197588)","23100","A123310000209","16011","山田幼稚園","名古屋市北区山田町4-42","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"22","POINT(136.915821 35.189689)","23100","A123310000218","16011","久国幼稚園","名古屋市北区大杉3-4-1","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"23","POINT(136.916531 35.202562)","23100","A123310000227","16011","志賀幼稚園","名古屋市北区志賀町5-46","4","9","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"24","POINT(136.927816 35.238286)","23100","A123310000236","16011","如意幼稚園","名古屋市北区六が池町72","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"25","POINT(136.901303 35.193415)","23100","A123310000245","16011","聖心幼稚園","名古屋市北区金城1-1-57","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"26","POINT(136.918282 35.189392)","23100","A123310000254","16011","ゼンヌ幼稚園","名古屋市北区大杉3-12-8","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"27","POINT(136.919415 35.222841)","23100","A123310000263","16011","名古屋楠幼稚園","名古屋市北区西味鋺3-931","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"28","POINT(136.911277 35.213273)","23100","A123310000272","16011","城北幼稚園","名古屋市北区川中町6-11","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"29","POINT(136.906633 35.200174)","23100","A123310000281","16011","金城幼稚園","名古屋市北区金城町2-23-2","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"30","POINT(136.892354 35.187319)","23100","A123310000290","16011","西城幼稚園","名古屋市西区城西3-4-5","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"31","POINT(136.885619 35.17952)","23100","A123310000307","16011","名古屋西幼稚園","名古屋市西区菊井2-2-10","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"32","POINT(136.898086 35.205056)","23100","A123310000316","16011","桂幼稚園","名古屋市西区又穂町2-1","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"33","POINT(136.873384 35.193837)","23100","A123310000325","16011","枇杷島幼稚園","名古屋市西区枇杷島4-8-2","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"34","POINT(136.888935 35.208545)","23100","A123310000334","16011","国風第二幼稚園","名古屋市西区名塚町4-46","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"35","POINT(136.889746 35.200062)","23100","A123310000343","16011","国風第一幼稚園","名古屋市西区笠取町2‐89","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"36","POINT(136.893782 35.184783)","23100","A123310000352","16011","幅下幼稚園","名古屋市西区城西2-4-16","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"37","POINT(136.864717 35.22537)","23100","A123310000361","16011","みどりケ丘幼稚園","名古屋市西区平中町202","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"38","POINT(136.878705 35.213691)","23100","A123310000370","16011","善光寺別院幼稚園","名古屋市西区中小田井1-353","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"39","POINT(136.872348 35.17299)","23100","A123310000389","16011","中京幼稚園","名古屋市中村区則武本通2-55","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"40","POINT(136.861516 35.172568)","23100","A123310000398","16011","清正幼稚園","名古屋市中村区藤江町4-32","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"41","POINT(136.84398 35.164362)","23100","A123310000405","16011","同朋幼稚園","名古屋市中村区稲葉地町7-1","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"42","POINT(136.868143 35.164311)","23100","A123310000414","16011","太閤幼稚園","名古屋市中村区二ﾂ橋町5-20","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"43","POINT(136.871884 35.182539)","23100","A123310000423","16011","名古屋遊花幼稚園","名古屋市中村区栄生町9-30","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"44","POINT(136.850784 35.161816)","23100","A123310000432","16011","飯田幼稚園","名古屋市中村区向島町5-28","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"45","POINT(136.875904 35.161272)","23100","A123310000441","16011","わかくさ幼稚園","名古屋市中村区深川町1-6","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"46","POINT(136.858136 35.17845)","23100","A123310000450","16011","みのり幼稚園","名古屋市中村区日比津町4-7-27","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"47","POINT(136.86408 35.176695)","23100","A123310000469","16011","上の宮幼稚園","名古屋市中村区上ﾉ宮町1-27","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"48","POINT(136.855664 35.170626)","23100","A123310000478","16011","とよとみ幼稚園","名古屋市中村区中村町7-19","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"49","POINT(136.841258 35.151518)","23100","A123310000487","16011","岩塚第一幼稚園","名古屋市中村区八社1-145","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"50","POINT(136.905238 35.177931)","23100","A123310000496","16011","名古屋教会幼稚園","名古屋市中区丸の内3-4-5","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"51","POINT(136.901388 35.152813)","23100","A123310000502","16011","お東幼稚園","名古屋市中区橘2-8-75","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"52","POINT(136.900155 35.157395)","23100","A123310000511","16011","西別院幼稚園","名古屋市中区門前町1-23","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"53","POINT(136.912501 35.158494)","23100","A123310000520","16011","松元幼稚園","名古屋市中区千代田2-6-19","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"54","POINT(136.903152 35.161482)","23100","A123310000539","16011","大須幼稚園","名古屋市中区大須3-1-53","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"55","POINT(136.926754 35.143814)","23100","A123310000548","16011","滝子幼稚園","名古屋市昭和区永金町1-1-15","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"56","POINT(136.937446 35.143683)","23100","A123310000557","16011","希望学園希望幼稚園","名古屋市昭和区塩付通6-8","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"57","POINT(136.935738 35.15274)","23100","A123310000566","16011","みちる幼稚園","名古屋市昭和区北山町3-9-2","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"58","POINT(136.915665 35.141927)","23100","A123310000575","16011","高辻幼稚園","名古屋市昭和区白金3-9-15","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"59","POINT(136.922334 35.148126)","23100","A123310000584","16011","天池幼稚園","名古屋市昭和区御器所2-9-16","4","9","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"60","POINT(136.953903 35.139106)","23100","A123310000593","16011","南山幼稚園","名古屋市昭和区南山町14","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"61","POINT(136.921204 35.142669)","23100","A123310000600","16011","第一村雲幼稚園","名古屋市昭和区円上町11-14","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"62","POINT(136.942984 35.156057)","23100","A123310000619","16011","広路幼稚園","名古屋市昭和区安田通2-15","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"63","POINT(136.937168 35.136051)","23100","A123310000628","16011","享栄学園享栄幼稚園","名古屋市瑞穂区東栄町2-4","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"64","POINT(136.929439 35.13545)","23100","A123310000637","16011","みずほが丘幼稚園","名古屋市瑞穂区高田町2-5","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"65","POINT(136.951593 35.115018)","23100","A123310000646","16011","弥富二葉幼稚園","名古屋市瑞穂区丸根町2-54","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"66","POINT(136.94596 35.13013)","23100","A123310000655","16011","旭キンダーの丘幼稚園","名古屋市瑞穂区田辺通3-20","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"67","POINT(136.958751 35.122259)","23100","A123310000664","16011","弥富幼稚園","名古屋市瑞穂区岳見町4-41","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"68","POINT(136.941135 35.127016)","23100","A123310000673","16011","萩山幼稚園","名古屋市瑞穂区萩山町3-4","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"69","POINT(136.940166 35.129871)","23100","A123310000682","16011","しおじ幼稚園","名古屋市瑞穂区汐路町4-23","4","9","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"70","POINT(136.929595 35.124135)","23100","A123310000691","16011","白竜幼稚園","名古屋市瑞穂区田光町3-30","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"71","POINT(136.892406 35.129085)","23100","A123310000708","16011","聖テレジア幼稚園","名古屋市熱田区大宝4-5-17","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"72","POINT(136.906103 35.125889)","23100","A123310000717","16011","白鳥幼稚園","名古屋市熱田区白鳥2-12-15","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"73","POINT(136.909472 35.117845)","23100","A123310000726","16011","内田橋聖アントニオ幼稚園","名古屋市熱田区伝馬2-28-14","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"74","POINT(136.907055 35.130666)","23100","A123310000735","16011","堅磐信誠幼稚園","名古屋市熱田区玉の井町9-28","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"75","POINT(136.888789 35.142358)","23100","A123310000744","16011","星条幼稚園","名古屋市中川区八熊3-11-5","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"76","POINT(136.884579 35.143666)","23100","A123310000753","16011","のぞみ幼稚園","名古屋市中川区五女子1-5-5","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"77","POINT(136.804973 35.139163)","23100","A123310000762","16011","戸田幼稚園","名古屋市中川区戸田2-2801","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"78","POINT(136.828714 35.157414)","23100","A123310000771","16011","万場幼稚園","名古屋市中川区万場5-203","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"79","POINT(136.873926 35.152779)","23100","A123310000799","16011","法誓幼稚園","名古屋市中川区愛知町31-12","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"80","POINT(136.84417 35.13342)","23100","A123310000806","16011","打中幼稚園","名古屋市中川区打中2-195","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"81","POINT(136.85826 35.119718)","23100","A123310000824","16011","港北幼稚園","名古屋市港区正徳町5-135","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"82","POINT(136.881367 35.09939)","23100","A123310000833","16011","慶和幼稚園","名古屋市港区港栄4-4-18","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"83","POINT(136.849831 35.115677)","23100","A123310000842","16011","小碓幼稚園","名古屋市港区小碓3-134","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"84","POINT(136.859815 35.089164)","23100","A123310000851","16011","萬泰幼稚園","名古屋市港区稲永1-9-18","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"85","POINT(136.867768 35.109076)","23100","A123310000860","16011","うぐいす幼稚園","名古屋市港区本宮町5-16","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"86","POINT(136.867069 35.099198)","23100","A123310000879","16011","呉竹幼稚園","名古屋市港区名四町121","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"87","POINT(136.829868 35.114527)","23100","A123310000888","16011","富士文化幼稚園","名古屋市港区小賀須1-801","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"88","POINT(136.801987 35.116227)","23100","A123310000897","16011","西福田幼稚園","名古屋市港区福屋2-70","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"89","POINT(136.847422 35.089002)","23100","A123310000904","16011","しらさぎ幼稚園","名古屋市港区宝神5-3302","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"90","POINT(136.907462 35.10615)","23100","A123310000913","16011","道徳和光幼稚園","名古屋市南区道徳北町2-14","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"91","POINT(136.945127 35.110026)","23100","A123310000922","16011","鶴田幼稚園","名古屋市南区鶴田1-5-20","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"92","POINT(136.914281 35.091568)","23100","A123310000931","16011","大江幼稚園","名古屋市南区港東通1-11","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"93","POINT(136.933367 35.109474)","23100","A123310000940","16011","マハヤナ幼稚園","名古屋市南区呼続3-11-23","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"94","POINT(136.933787 35.092905)","23100","A123310000968","16011","善東幼稚園","名古屋市南区鳥山町3-40-1","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"95","POINT(136.935756 35.080203)","23100","A123310000977","16011","正和幼稚園","名古屋市南区星崎1-310","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"96","POINT(136.908633 35.112971)","23100","A123310000986","16011","ユタカ幼稚園","名古屋市南区内田橋2-30-8","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"97","POINT(136.932237 35.100704)","23100","A123310000995","16011","みどり幼稚園","名古屋市南区呼続5-14-34","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"98","POINT(136.930131 35.111187)","23100","A123310001002","16011","山崎幼稚園","名古屋市南区呼続2-20-11","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"99","POINT(136.945691 35.100949)","23100","A123310001011","16011","第二松元幼稚園","名古屋市南区明円町180","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"100","POINT(136.938558 35.210968)","23100","A123310001020","16011","瀬古幼稚園","名古屋市守山区瀬古東3-119","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"101","POINT(137.028652 35.242553)","23100","A123310001039","16011","志だみ幼稚園","名古屋市守山区中志段味吉田洞2911-18","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"102","POINT(137.020525 35.195184)","23100","A123310001048","16011","ひまわり幼稚園","名古屋市守山区白山1-807","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"103","POINT(136.965862 35.203307)","23100","A123310001057","16011","守山幼稚園","名古屋市守山区大屋敷13-73","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"104","POINT(136.978558 35.198199)","23100","A123310001066","16011","小幡あさひ幼稚園","名古屋市守山区小幡南2-5-9","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"105","POINT(136.982925 35.207292)","23100","A123310001075","16011","喜多山幼稚園","名古屋市守山区小幡4-12-52","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"106","POINT(136.976094 35.207839)","23100","A123310001084","16011","第二富士幼稚園","名古屋市守山区小幡中3-28-30","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"107","POINT(136.959979 35.192755)","23100","A123310001093","16011","ともしび幼稚園","名古屋市守山区更屋敷10-11","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"108","POINT(136.996458 35.203376)","23100","A123310001100","16011","みつる幼稚園","名古屋市守山区大森1-2711","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"109","POINT(136.993298 35.208701)","23100","A123310001119","16011","金城学院幼稚園","名古屋市守山区大森2-1724","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"110","POINT(137.008365 35.233292)","23100","A123310001128","16011","吉根みどり幼稚園","名古屋市守山区花咲台1-502","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"111","POINT(137.010979 35.195233)","23100","A123310001137","16011","第二若竹幼稚園","名古屋市守山区森孝3-1803","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"112","POINT(136.973927 35.069395)","23100","A123310001146","16011","鳴海ケ丘幼稚園","名古屋市緑区鳴海町字有松裏70-3","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"113","POINT(136.94904 35.077112)","23100","A123310001155","16011","鳴海幼稚園","名古屋市緑区鳴海町向田272","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"114","POINT(136.967347 35.068967)","23100","A123310001164","16011","有松幼稚園","名古屋市緑区有松212","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"115","POINT(136.978871 35.10214)","23100","A123310001173","16011","あけの星幼稚園","名古屋市緑区ほら貝1-52","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"116","POINT(136.960568 35.100375)","23100","A123310001182","16011","新生幼稚園","名古屋市緑区古鳴海1-165","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"117","POINT(136.991026 35.085459)","23100","A123310001191","16011","緑学園平手幼稚園","名古屋市緑区平手北2-1113","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"118","POINT(136.953871 35.093973)","23100","A123310001208","16011","マツガネ台幼稚園","名古屋市緑区松が根台182","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"119","POINT(136.966814 35.092546)","23100","A123310001217","16011","池上台幼稚園","名古屋市緑区池上台2-194","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"120","POINT(136.989681 35.101371)","23100","A123310001226","16011","黒石みどり幼稚園","名古屋市緑区桃山3-201","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"121","POINT(137.009485 35.094878)","23100","A123310001235","16011","徳重幼稚園","名古屋市緑区亀が洞2-401","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"122","POINT(136.946154 35.065346)","23100","A123310001244","16011","風かおる丘幼稚園","名古屋市緑区大高町丸根42-1","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"123","POINT(136.935306 35.054664)","23100","A123310001253","16011","登美幼稚園","名古屋市緑区定納山1-603","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"124","POINT(136.993966 35.1556)","23100","A123310001262","16011","愛英西山幼稚園","名古屋市名東区扇町1-73","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"125","POINT(137.001918 35.154542)","23100","A123310001271","16011","あいわ幼稚園","名古屋市名東区神里2-168","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"126","POINT(136.991582 35.163557)","23100","A123310001280","16011","星ケ丘幼稚園","名古屋市名東区名東本町20","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"127","POINT(137.009838 35.180813)","23100","A123310001299","16011","東名幼稚園","名古屋市名東区藤森2-43","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"128","POINT(137.018748 35.180794)","23100","A123310001306","16011","健峰幼稚園","名古屋市名東区小池町65","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"129","POINT(136.988477 35.169881)","23100","A123310001315","16011","珉光幼稚園","名古屋市名東区平和が丘3-78","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"130","POINT(137.016827 35.157064)","23100","A123310001324","16011","高針幼稚園","名古屋市名東区高針台3-701","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"131","POINT(136.987032 35.179382)","23100","A123310001333","16011","よもぎ幼稚園","名古屋市名東区よもぎ台1-101","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"132","POINT(137.013674 35.170812)","23100","A123310001342","16011","上社幼稚園","名古屋市名東区上社5-301","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"133","POINT(137.017558 35.147946)","23100","A123310001351","16011","あいく学園むらくも幼稚園","名古屋市名東区大針3-344-2","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"134","POINT(137.012311 35.163568)","23100","A123310001360","16011","東貴船幼稚園","名古屋市名東区貴船3-2001","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"135","POINT(136.995574 35.146943)","23100","A123310001379","16011","愛英名東幼稚園","名古屋市名東区高針原2-1510","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"136","POINT(137.005049 35.111512)","23100","A123310001388","16011","名古屋あかつき幼稚園","名古屋市天白区平針南2-1005","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"137","POINT(136.976416 35.107095)","23100","A123310001397","16011","ひばり幼稚園","名古屋市天白区久方1-147","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"138","POINT(136.962162 35.134159)","23100","A123310001404","16011","天道幼稚園","名古屋市天白区八事天道815","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"139","POINT(136.990272 35.109675)","23100","A123310001413","16011","島田幼稚園","名古屋市天白区島田黒石507","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"140","POINT(136.97531 35.11581)","23100","A123310001422","16011","名古屋女子大学付属幼稚園","名古屋市天白区高宮町401-2","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"141","POINT(136.988889 35.120713)","23100","A123310001431","16011","原幼稚園","名古屋市天白区原3-107","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"142","POINT(136.985087 35.106501)","23100","A123310001440","16011","上田学園高坂幼稚園","名古屋市天白区高坂町47-1","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"143","POINT(136.982445 35.143976)","23100","A123310001459","16011","栄光八事幼稚園","名古屋市天白区天白町八事裏山122","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"144","POINT(137.391697 34.750771)","23201","A123310001468","16011","たかくら幼稚園","豊橋市鍵田町117","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"145","POINT(137.415344 34.764525)","23201","A123310001477","16011","とよはし幼稚園","豊橋市東雲町119","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"146","POINT(137.38607 34.732101)","23201","A123310001486","16011","曙幼稚園","豊橋市曙町字松並28","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"147","POINT(137.444559 34.747342)","23201","A123310001495","16011","仔羊幼稚園","豊橋市岩田町字影岩7-4","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"148","POINT(137.364518 34.697151)","23201","A123310001501","16011","大清水幼稚園","豊橋市南大清水町字元町66-2","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"149","POINT(137.393629 34.764486)","23201","A123310001510","16011","豊橋中央幼稚園","豊橋市新吉町6","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"150","POINT(137.405727 34.761876)","23201","A123310001529","16011","不動院幼稚園","豊橋市瓦町通1-31-1","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"151","POINT(137.386547 34.765516)","23201","A123310001538","16011","花園幼稚園","豊橋市花園町6-1","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"152","POINT(137.361038 34.75806)","23201","A123310001547","16011","豊橋若葉幼稚園","豊橋市牟呂外神町3-2","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"153","POINT(137.349844 34.768092)","23201","A123310001556","16011","高洲若葉幼稚園","豊橋市高洲町字小島18-1","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"154","POINT(137.430094 34.751494)","23201","A123310001574","16011","豊岡幼稚園","豊橋市東岩田四丁1-2","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
"155","POINT(137.407689 34.76107)","23201","A123310001583","16011","寿泉寺幼稚園","豊橋市瓦町字通裏28-5","4","0","","","システム管理者","2023/07/12 15:38:22","システム管理者",""
