stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,platform_code
1001_01,1,市役所,,35.1322381,137.0395165,1001_01,,0,
1002_01,2,図書館,,35.1320455,137.0425115,1002_01,,0,
1002_02,52,図書館,,35.13206138,137.0424346,1002_02,,0,
1003_01,3,浅間下,,35.13088756,137.0449719,1003_01,,0,
1004_01,4,笠寺山,,35.1268151,137.045638,1004_01,,0,
1005_01,5,日進駅,,35.11869436,137.0480203,1005_01,,0,
1005_02,,日進駅,,35.11897,137.04829,1005_02,,0,
1006_01,6,日進駅南,,35.1159416,137.049248,1006_01,,0,
1007_01,7,南ヶ丘北,,35.1141545,137.0437225,1007_01,,0,
1008_01,8,南ヶ丘南,,35.11139985,137.0415455,1008_01,,0,
1009_01,9,藤塚六丁目,,35.11171782,137.036693,1009_01,,0,
1010_01,10,高松池,,35.11480604,137.0406254,1010_01,,0,
1011_01,11,鎌ヶ寿,,35.1229965,137.0401603,1011_01,,0,
1012_01,12,藤塚,,35.12378324,137.0347574,1012_01,,0,
1013_01,13,上ノ山,,35.12518601,137.0286989,1013_01,,0,
1014_01,14,浅田区民会館,,35.12469102,137.0240962,1014_01,,0,
1015_01,15,平子,,35.12179047,137.0252287,1015_01,,0,
1016_01,16,箕ノ手北,,35.1192227,137.0211555,1016_01,,0,
1017_01,17,赤池駅南,,35.1202101,137.0195622,1017_01,,0,
1018_01,18,赤池駅,,35.12125081,137.0184716,1018_01,,0,3
1019_01,19,赤池小学校,,35.11852804,137.0173548,1019_01,,0,
1020_01,20,赤池南一丁目,,35.11774279,137.0195002,1020_01,,0,
1021_01,21,箕ノ手西,,35.1184024,137.0210619,1021_01,,0,
1022_01,22,箕ノ手中央,,35.1127313,137.0260375,1022_01,,0,
1023_01,23,箕ノ手東,,35.11257175,137.0284422,1023_01,,0,
1024_01,24,平子南,,35.11587268,137.0303337,1024_01,,0,
1025_01,25,藤塚南,,35.11934911,137.0386541,1025_01,,0,
1026_01,26,おりど病院,,35.1235671,137.0419697,1026_01,,0,
1026_02,,おりど病院,,35.12365,137.04158,1026_02,,0,
1027_01,27,市役所東,,35.13257394,137.0405075,1027_01,,0,
1028_01,28,日生東山,,35.1265224,137.0490411,1028_01,,0,
1029_01,29,寺脇,,35.12274204,137.0474376,1029_01,,0,
1030_01,30,東山グランド,,35.12287648,137.0527781,1030_01,,0,
1031_01,31,日東東山,,35.12508704,137.0536037,1031_01,,0,
1032_01,32,日東東山北,,35.12610253,137.0565406,1032_01,,0,
1032_02,48,日東東山北,,35.1260226,137.0575693,1032_02,,0,
1033_01,33,橦木北,,35.12264039,137.0586277,1033_01,,0,
1033_02,47,橦木北,,35.12307603,137.0586903,1033_02,,0,
1034_01,34,栄,,35.12127765,137.0538668,1034_01,,0,
1034_02,35,栄,,35.1211982,137.0525942,1034_02,,0,
1035_01,36,日進団地,,35.1237009,137.0618898,1035_01,,0,
1035_02,46,日進団地,,35.12359734,137.0618799,1035_02,,0,
1036_01,37,米野木台二丁目,,35.12528096,137.0641678,1036_01,,0,
1037_01,38,福成,,35.1304974,137.0640377,1037_01,,0,
1038_01,39,宮西,,35.1366353,137.0602123,1038_01,,0,
1038_02,128,宮西,,35.13666,137.0603154,1038_02,,0,
1039_01,40,藤島,,35.1402329,137.05697,1039_01,,0,
1039_02,127,藤島,,35.14013355,137.0572262,1039_02,,0,
1040_01,41,藤島小万場,,35.14028158,137.055166,1040_01,,0,
1041_01,42,東中学校,,35.1343618,137.0547418,1041_01,,0,
1041_02,75,東中学校,,35.1342938,137.054843,1041_02,,0,
1042_01,43,東部福祉会館北,,35.13492204,137.0607375,1042_01,,0,
1043_01,44,本米野木,,35.13088759,137.0658168,1043_01,,0,
1044_01,45,米野木駅,,35.1242181,137.0669302,1044_01,,0,
1045_01,49,平子台,,35.12867438,137.0565469,1045_01,,0,
1046_01,50,米野木西,,35.13178721,137.0560743,1046_01,,0,
1046_02,55,米野木西,,35.1318192,137.0557637,1046_02,,0,
1047_01,51,藤枝,,35.13168108,137.049705,1047_01,,0,
1047_02,54,藤枝,,35.13191025,137.0510344,1047_02,,0,
1048_01,53,中央福祉センター,,35.13304854,137.0418847,1048_01,,0,
1049_01,56,米野木,,35.13243764,137.0627228,1049_01,,0,
1050_01,57,米野木東仲,,35.13288176,137.0660009,1050_01,,0,
1050_02,74,米野木東仲,,35.13274404,137.0657089,1050_02,,0,
1051_01,58,丸山,,35.1344665,137.0714572,1051_01,,0,
1052_01,59,柿ノ木,,35.13724828,137.0742247,1052_01,,0,
1053_01,60,三本木,,35.13976519,137.0787882,1053_01,,0,
1053_02,68,三本木,,35.13964067,137.0788676,1053_02,,0,
1054_01,61,日進ニュータウン,,35.14465547,137.077909,1054_01,,0,
1055_01,62,三本木区民会館,,35.14171027,137.0817095,1055_01,,0,
1055_02,67,三本木区民会館,,35.14163434,137.0817977,1055_02,,0,
1056_01,63,上川田,,35.14434885,137.0850435,1056_01,,0,
1056_02,66,上川田,,35.143237,137.083703,1056_02,,0,
1057_01,64,三ヶ峯,,35.1457105,137.0960994,1057_01,,0,
1058_01,65,名商大,,35.14747537,137.09398,1058_01,,0,
1059_01,69,南山エピック北,,35.13720589,137.08171,1059_01,,0,
1060_01,70,南山エピック,,35.13536652,137.0842551,1060_01,,0,
1061_01,71,南山エピック南,,35.13262993,137.0847131,1061_01,,0,
1062_01,72,愛知牧場西,,35.13080566,137.0827506,1062_01,,0,
1063_01,73,下五反田,,35.13281618,137.0691495,1063_01,,0,
1064_01,76,本郷,,35.13343972,137.0459233,1064_01,,0,
1064_02,102,本郷,,35.13352123,137.0458586,1064_02,,0,
1065_01,77,白山,,35.13898586,137.0446197,1065_01,,0,
1066_01,78,保健センター北,,35.14004073,137.0409082,1066_01,,0,
1067_01,79,畔道,,35.13896582,137.0371257,1067_01,,0,
1068_01,80,北高上,,35.13812383,137.0341747,1068_01,,0,
1069_01,81,南高上,,35.1367701,137.0269944,1069_01,,0,
1069_02,86,南高上,,35.13724079,137.0269698,1069_02,,0,
1070_01,82,香久山東,,35.14165122,137.0310071,1070_01,,0,
1071_01,83,岩崎台・香久山福祉会館,,35.1430048,137.0295534,1071_01,,0,
1072_01,84,香久山中,,35.14322767,137.0278155,1072_01,,0,
1072_02,166,香久山中,,35.143079,137.027669,1072_02,,0,
1073_01,85,香久山,,35.1422851,137.0265531,1073_01,,0,
1074_01,87,新田,,35.13432357,137.0194062,1074_01,,0,
